sku,forecast_demand,current_stock,in_transit,order_multiple,recommended_quantity,urgency
030200203_,4928.0,4668.0,0.0,900.0,900.0,replenish
130300026_,464.5,247.0,0.0,140.0,280.0,replenish
130300027_,142.0,6.0,0.0,140.0,140.0,replenish
130300028_,261.0,196.0,0.0,140.0,140.0,replenish
300200856_,496.0,364.0,0.0,5.0,135.0,replenish
300200933_,159.5,75.0,0.0,5.0,85.0,replenish
030200193_,37745.0,27322.0,37800.0,3780.0,0.0,covered
300200720_,37.5,20.0,80.0,5.0,0.0,covered
300200722_,34.5,9.0,40.0,5.0,0.0,covered
030200003_,7.5,4.0,,1.0,,review_required
